NAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
United States,331511512,332031554,333287557
Northeast Region,57448898,57259257,57040406
New England,15074473,15121745,15129548
Middle Atlantic,42374425,42137512,41910858
Midwest Region,68961043,68836505,68787595
East North Central,47338744,47181948,47097779
West North Central,21622299,21654557,21689816
South Region,126450613,127346029,128716192
South Atlantic,66164801,66666348,67452940
East South Central,19422567,19474372,19578002
West South Central,40863245,41205309,41685250
West Region,78650958,78589763,78743364
Mountain,24996513,25268390,25514320
Pacific,53654445,53321373,53229044
Alabama,5031362,5049846,5074296
Alaska,732923,734182,733583
Arizona,7179943,7264877,7359197
Arkansas,3014195,3028122,3045637
California,39501653,39142991,39029342
Colorado,5784865,5811297,5839926
Connecticut,3597362,3623355,3626205
Delaware,992114,1004807,1018396
District of Columbia,670868,668791,671803
Florida,21589602,21828069,22244823
Georgia,10729828,10788029,10912876
Hawaii,1451043,1447154,1440196
Idaho,1849202,1904314,1939033
Illinois,12786580,12686469,12582032
Indiana,6788799,6813532,6833037
Iowa,3190571,3197689,3200517
Kansas,2937919,2937922,2937150
Kentucky,4507445,4506589,4512310
Louisiana,4651664,4627098,4590241
Maine,1363557,1377238,1385340
Maryland,6173205,6174610,6164660
Massachusetts,6995729,6989690,6981974
Michigan,10069577,10037504,10034113
Minnesota,5709852,5711471,5717184
Mississippi,2958141,2949586,2940057
Missouri,6153998,6169823,6177957
Montana,1087075,1106227,1122867
Nebraska,1962642,1963554,1967923
Nevada,3115648,3146402,3177772
New Hampshire,1378587,1387505,1395231
New Jersey,9271689,9267961,9261699
New Mexico,2118390,2116677,2113344
New York,20108296,19857492,19677151
North Carolina,10449445,10565885,10698973
North Dakota,779518,777934,779261
Ohio,11797517,11764342,11756058
Oklahoma,3964912,3991225,4019800
Oregon,4244795,4256301,4240137
Pennsylvania,12994440,13012059,12972008
Rhode Island,1096345,1096985,1093734
South Carolina,5131848,5193266,5282634
South Dakota,887799,896164,909824
Tennessee,6925619,6968351,7051339
Texas,29232474,29558864,30029572
Utah,3283785,3339113,3380800
Vermont,642893,646972,647064
Virginia,8636471,8657365,8683619
Washington,7724031,7740745,7785786
West Virginia,1791420,1785526,1775156
Wisconsin,5896271,5880101,5892539
Wyoming,577605,579483,581381
Puerto Rico,3281557,3262693,3221789